iter	Passed	Remaining
0	63	190990
1	128	192925
2	190	190164
3	255	191149
4	321	192660
5	385	192376
6	456	195323
7	524	196207
8	586	195035
9	648	193833
10	710	193168
11	773	192577
12	835	192085
13	897	191475
14	958	190657
15	1015	189418
16	1080	189528
17	1139	188824
18	1201	188549
19	1267	188927
20	1333	189196
21	1400	189581
22	1465	189732
23	1527	189411
24	1588	189037
25	1648	188570
26	1713	188702
27	1779	188871
28	1845	189042
29	1912	189289
30	1975	189242
31	2047	189888
32	2125	191118
33	2199	191868
34	2278	193014
35	2342	192845
36	2408	192856
37	2472	192707
38	2543	193133
39	2615	193524
40	2680	193427
41	2747	193506
42	2809	193195
43	2871	192889
44	2934	192714
45	3004	192950
46	3069	192845
47	3135	192834
48	3201	192787
49	3273	193152
50	3336	192948
51	3398	192680
52	3467	192808
53	3535	192900
54	3603	192942
55	3665	192721
56	3730	192592
57	3798	192655
58	3876	193254
59	3958	193978
60	4041	194704
61	4115	195016
62	4184	195090
63	4254	195179
64	4321	195120
65	4390	195199
66	4455	195046
67	4524	195072
68	4588	194922
69	4655	194859
70	4723	194863
71	4789	194765
72	4856	194708
73	4921	194593
74	4981	194268
75	5038	193847
76	5095	193434
77	5157	193204
78	5223	193143
79	5302	193540
80	5368	193480
81	5436	193455
82	5496	193164
83	5553	192780
84	5614	192560
85	5674	192281
86	5737	192110
87	5803	192056
88	5863	191780
89	5922	191494
90	5983	191281
91	6047	191141
92	6109	190963
93	6171	190791
94	6236	190703
95	6302	190664
96	6368	190593
97	6436	190593
98	6501	190505
99	6567	190446
100	6629	190292
101	6692	190156
102	6751	189894
103	6813	189740
104	6874	189548
105	6933	189303
106	6992	189045
107	7050	188805
108	7111	188609
109	7170	188386
110	7232	188243
111	7293	188079
112	7360	188040
113	7420	187866
114	7481	187698
115	7542	187521
116	7601	187316
117	7665	187223
118	7731	187179
119	7795	187102
120	7860	187021
121	7924	186936
122	7982	186718
123	8038	186433
124	8095	186204
125	8150	185908
126	8213	185799
127	8276	185704
128	8334	185491
129	8396	185369
130	8454	185153
131	8511	184935
132	8569	184729
133	8627	184533
134	8685	184332
135	8742	184097
136	8799	183894
137	8856	183677
138	8910	183398
139	8967	183195
140	9033	183164
141	9094	183037
142	9156	182930
143	9218	182837
144	9279	182715
145	9339	182566
146	9396	182372
147	9459	182290
148	9515	182074
149	9577	181971
150	9637	181843
151	9693	181624
152	9750	181442
153	9811	181327
154	9869	181144
155	9928	181006
156	9991	180930
157	10051	180808
158	10109	180632
159	10166	180448
160	10230	180405
161	10297	180404
162	10358	180290
163	10420	180192
164	10480	180079
165	10551	180137
166	10617	180117
167	10681	180065
168	10743	179962
169	10808	179926
170	10871	179852
171	10931	179740
172	10988	179558
173	11047	179429
174	11104	179253
175	11156	179012
176	11214	178867
177	11268	178655
178	11321	178426
179	11380	178299
180	11441	178195
181	11497	178016
182	11559	177942
183	11616	177775
184	11676	177671
185	11740	177627
186	11805	177582
187	11860	177406
188	11921	177312
189	11983	177223
190	12042	177109
191	12102	177005
192	12161	176873
193	12216	176698
194	12280	176652
195	12336	176487
196	12395	176363
197	12458	176309
198	12514	176150
199	12577	176089
200	12636	175972
201	12694	175833
202	12756	175767
203	12809	175563
204	12868	175455
205	12936	175458
206	12999	175396
207	13061	175321
208	13121	175230
209	13173	175025
210	13240	175011
211	13292	174805
212	13353	174728
213	13415	174654
214	13476	174573
215	13528	174361
216	13587	174261
217	13644	174119
218	13696	173927
219	13754	173810
220	13808	173634
221	13861	173458
222	13920	173345
223	13978	173232
224	14035	173105
225	14088	172929
226	14152	172888
227	14216	172840
228	14281	172810
229	14338	172679
230	14393	172530
231	14445	172352
232	14505	172256
233	14556	172062
234	14617	171984
235	14672	171836
